id,name,sheet_id,month,refresh_interval
1,SHUFFLE Rotation,10BCYZ-SMEoBRtfqDzZ6mYB8Wr7J68LI2lnkBRWuf4y8,May.25,1
2,VIP Rotation,1QZi0tnOAusGaa9stIaL5m6VCaeq4Ts4rkt6P2e2pV1g,May.25,1
3,GENERIC Rotation,1VxV8aCYSD3yULFalDEZNqYGBHX0yEIKNZnRjXeZyRvA,May.25,1
4,GSBJ Rotation,1XKgKGjs9lILXSaWuwVaKBTNFydDCHTpk_4bubd22GDc,May.25,1
5,LEGENDZ Rotation,1dJQAVqLn6v6Oo1ZbFfIHWSWupvDB_wFwJCUp_XhSD6o,May.25,1
6,TRI-STAR Rotation,1nhYm71aSjDhSbTwt_mZqvYmbYxFjN2EsRSHihd3uuvI,May.25,1
7,AquaRL Rotation,1wkJg7pio8KdNJOlOcl4BLuzF38AJlaQ0omNVZERPj,May.25,1
